,Team,Season,Record,Season Result,PJ Positive
178,Pacers,1979-80,37-45,N/A,False
179,Bulls,1979-80,30-52,N/A,False
180,Suns,1979-80,55-27,N/A,True
181,Lakers,1979-80,60-22,LEAGUE CHAMPION,True
182,Rockets,1979-80,41-41,N/A,False
183,76ers,1979-80,59-23,FINALS APPEARANCE,True
184,Knicks,1979-80,39-43,N/A,False
185,SuperSonics,1979-80,56-26,N/A,True
186,Bucks,1979-80,49-33,N/A,False
187,Nuggets,1979-80,30-52,N/A,False
188,Bullets,1979-80,39-43,N/A,False
189,Warriors,1979-80,24-58,N/A,False
190,Celtics,1979-80,61-21,N/A,True
191,Trail Blazers,1979-80,38-44,N/A,False
192,Jazz,1980-81,28-54,N/A,False
193,Pacers,1980-81,44-38,N/A,False
194,Warriors,1980-81,39-43,N/A,False
195,Spurs,1980-81,52-30,N/A,False
196,Mavericks,1980-81,15-67,N/A,False
197,Hawks,1980-81,31-51,N/A,False
198,Kings,1980-81,40-42,N/A,False
199,SuperSonics,1980-81,34-48,N/A,False
200,Nets,1980-81,24-58,N/A,False
201,Lakers,1980-81,54-28,N/A,False
202,Nuggets,1980-81,37-45,N/A,False
203,Knicks,1980-81,50-32,N/A,False
204,Bullets,1980-81,39-43,N/A,False
205,Pistons,1980-81,21-61,N/A,False
206,Bulls,1980-81,45-37,N/A,False
207,Trail Blazers,1980-81,45-37,N/A,False
208,Celtics,1980-81,62-20,LEAGUE CHAMPION,True
209,Bucks,1980-81,60-22,N/A,True
210,Cavaliers,1980-81,28-54,N/A,False
211,76ers,1980-81,62-20,N/A,True
212,Rockets,1980-81,40-42,FINALS APPEARANCE,False
213,Clippers,1980-81,36-46,N/A,False
214,Suns,1980-81,57-25,N/A,True
215,Rockets,1981-82,46-36,N/A,False
216,Knicks,1981-82,33-49,N/A,False
217,Hawks,1981-82,42-40,N/A,False
218,Jazz,1981-82,25-57,N/A,False
219,Kings,1981-82,30-52,N/A,False
220,Bucks,1981-82,55-27,N/A,True
221,Nuggets,1981-82,46-36,N/A,False
222,Clippers,1981-82,17-65,N/A,False
223,Pistons,1981-82,39-43,N/A,False
224,Bullets,1981-82,43-39,N/A,False
225,Warriors,1981-82,45-37,N/A,False
226,76ers,1981-82,58-24,FINALS APPEARANCE,True
227,Suns,1981-82,46-36,N/A,False
228,Pacers,1981-82,35-47,N/A,False
229,Cavaliers,1981-82,15-67,N/A,False
230,Bulls,1981-82,34-48,N/A,False
231,Mavericks,1981-82,28-54,N/A,False
232,Spurs,1981-82,48-34,N/A,False
233,SuperSonics,1981-82,52-30,N/A,True
234,Nets,1981-82,44-38,N/A,False
235,Lakers,1981-82,57-25,LEAGUE CHAMPION,True
236,Celtics,1981-82,63-19,N/A,True
237,Trail Blazers,1981-82,42-40,N/A,False
238,Bucks,1982-83,51-31,N/A,False
239,Clippers,1982-83,25-57,N/A,False
240,Celtics,1982-83,56-26,N/A,True
241,76ers,1982-83,65-17,LEAGUE CHAMPION,True
242,SuperSonics,1982-83,48-34,N/A,False
243,Knicks,1982-83,44-38,N/A,False
244,Bulls,1982-83,28-54,N/A,False
245,Pistons,1982-83,37-45,N/A,False
246,Warriors,1982-83,30-52,N/A,False
247,Rockets,1982-83,14-68,N/A,False
248,Nets,1982-83,49-33,N/A,True
249,Bullets,1982-83,42-40,N/A,False
250,Trail Blazers,1982-83,46-36,N/A,False
251,Kings,1982-83,45-37,N/A,False
252,Cavaliers,1982-83,23-59,N/A,False
253,Nuggets,1982-83,45-37,N/A,False
254,Hawks,1982-83,43-39,N/A,False
255,Mavericks,1982-83,38-44,N/A,False
256,Suns,1982-83,53-29,N/A,True
257,Jazz,1982-83,30-52,N/A,False
258,Lakers,1982-83,58-24,FINALS APPEARANCE,True
259,Spurs,1982-83,53-29,N/A,False
260,Pacers,1982-83,20-62,N/A,False
261,Bucks,1983-84,50-32,N/A,False
262,Suns,1983-84,41-41,N/A,False
263,Warriors,1983-84,37-45,N/A,False
264,Celtics,1983-84,62-20,LEAGUE CHAMPION,True
265,Rockets,1983-84,29-53,N/A,False
266,76ers,1983-84,52-30,N/A,False
267,Hawks,1983-84,40-42,N/A,False
268,Nuggets,1983-84,38-44,N/A,False
269,Spurs,1983-84,37-45,N/A,False
270,Nets,1983-84,45-37,N/A,False
271,Bulls,1983-84,27-55,N/A,False
272,Knicks,1983-84,47-35,N/A,False
273,Clippers,1983-84,30-52,N/A,False
274,Trail Blazers,1983-84,48-34,N/A,False
275,Pacers,1983-84,26-56,N/A,False
276,Kings,1983-84,38-44,N/A,False
277,Lakers,1983-84,54-28,FINALS APPEARANCE,True
278,SuperSonics,1983-84,42-40,N/A,False
279,Cavaliers,1983-84,28-54,N/A,False
280,Mavericks,1983-84,43-39,N/A,False
281,Bullets,1983-84,35-47,N/A,False
282,Jazz,1983-84,45-37,N/A,False
283,Pistons,1983-84,49-33,N/A,False
284,Nuggets,1984-85,52-30,N/A,False
285,Lakers,1984-85,62-20,LEAGUE CHAMPION,True
286,Celtics,1984-85,63-19,FINALS APPEARANCE,True
287,Warriors,1984-85,22-60,N/A,False
288,Knicks,1984-85,24-58,N/A,False
289,SuperSonics,1984-85,31-51,N/A,False
290,Spurs,1984-85,41-41,N/A,False
291,Kings,1984-85,31-51,N/A,False
292,76ers,1984-85,58-24,N/A,True
293,Suns,1984-85,36-46,N/A,False
294,Hawks,1984-85,34-48,N/A,False
295,Jazz,1984-85,41-41,N/A,False
296,Pacers,1984-85,22-60,N/A,False
297,Mavericks,1984-85,44-38,N/A,False
298,Clippers,1984-85,31-51,N/A,False
299,Cavaliers,1984-85,36-46,N/A,False
300,Trail Blazers,1984-85,42-40,N/A,False
301,Bucks,1984-85,59-23,N/A,True
302,Bullets,1984-85,40-42,N/A,False
303,Pistons,1984-85,46-36,N/A,False
304,Bulls,1984-85,38-44,N/A,False
305,Rockets,1984-85,48-34,N/A,False
306,Nets,1984-85,42-40,N/A,False
307,Warriors,1985-86,30-52,N/A,False
308,Celtics,1985-86,67-15,LEAGUE CHAMPION,True
309,Mavericks,1985-86,44-38,N/A,False
310,Suns,1985-86,32-50,N/A,False
311,Kings,1985-86,37-45,N/A,False
312,Bucks,1985-86,57-25,N/A,True
313,Pistons,1985-86,46-36,N/A,False
314,Spurs,1985-86,35-47,N/A,False
315,SuperSonics,1985-86,31-51,N/A,False
316,Hawks,1985-86,50-32,N/A,False
317,Pacers,1985-86,26-56,N/A,False
318,Cavaliers,1985-86,29-53,N/A,False
319,76ers,1985-86,54-28,N/A,True
320,Lakers,1985-86,62-20,N/A,True
321,Rockets,1985-86,51-31,FINALS APPEARANCE,False
322,Nets,1985-86,39-43,N/A,False
323,Knicks,1985-86,23-59,N/A,False
324,Bulls,1985-86,30-52,N/A,False
325,Trail Blazers,1985-86,40-42,N/A,False
326,Clippers,1985-86,32-50,N/A,False
327,Nuggets,1985-86,47-35,N/A,False
328,Jazz,1985-86,42-40,N/A,False
329,Bullets,1985-86,39-43,N/A,False
330,Suns,1986-87,36-46,N/A,False
331,Spurs,1986-87,28-54,N/A,False
332,Nuggets,1986-87,37-45,N/A,False
333,Pacers,1986-87,41-41,N/A,False
334,Mavericks,1986-87,55-27,N/A,True
335,Cavaliers,1986-87,31-51,N/A,False
336,76ers,1986-87,45-37,N/A,False
337,Bullets,1986-87,42-40,N/A,False
338,Bucks,1986-87,50-32,N/A,False
339,Lakers,1986-87,65-17,LEAGUE CHAMPION,True
340,Jazz,1986-87,44-38,N/A,False
341,Celtics,1986-87,59-23,FINALS APPEARANCE,True
342,Clippers,1986-87,12-70,N/A,False
343,SuperSonics,1986-87,39-43,N/A,False
344,Kings,1986-87,29-53,N/A,False
345,Bulls,1986-87,40-42,N/A,False
346,Trail Blazers,1986-87,49-33,N/A,False
347,Knicks,1986-87,24-58,N/A,False
348,Hawks,1986-87,57-25,N/A,False
349,Rockets,1986-87,42-40,N/A,False
350,Nets,1986-87,24-58,N/A,False
351,Pistons,1986-87,52-30,N/A,True
352,Warriors,1986-87,42-40,N/A,False
353,Pistons,1987-88,54-28,FINALS APPEARANCE,True
354,Jazz,1987-88,47-35,N/A,False
355,Lakers,1987-88,62-20,LEAGUE CHAMPION,True
356,Mavericks,1987-88,53-29,N/A,True
357,Nets,1987-88,19-63,N/A,False
358,SuperSonics,1987-88,44-38,N/A,False
359,Bucks,1987-88,42-40,N/A,False
360,76ers,1987-88,36-46,N/A,False
361,Pacers,1987-88,38-44,N/A,False
362,Bullets,1987-88,38-44,N/A,False
363,Kings,1987-88,24-58,N/A,False
364,Spurs,1987-88,31-51,N/A,False
365,Suns,1987-88,28-54,N/A,False
366,Knicks,1987-88,38-44,N/A,False
367,Nuggets,1987-88,54-28,N/A,True
368,Hawks,1987-88,50-32,N/A,False
369,Trail Blazers,1987-88,53-29,N/A,True
370,Celtics,1987-88,57-25,N/A,True
371,Bulls,1987-88,50-32,N/A,False
372,Rockets,1987-88,46-36,N/A,False
373,Clippers,1987-88,17-65,N/A,False
374,Cavaliers,1987-88,42-40,N/A,False
375,Warriors,1987-88,20-62,N/A,False
376,Celtics,1988-89,42-40,N/A,False
377,Jazz,1988-89,51-31,N/A,False
378,SuperSonics,1988-89,47-35,N/A,False
379,Hornets,1988-89,20-62,N/A,False
380,Heat,1988-89,15-67,N/A,False
381,Suns,1988-89,55-27,N/A,True
382,Trail Blazers,1988-89,39-43,N/A,False
383,Lakers,1988-89,57-25,FINALS APPEARANCE,True
384,Kings,1988-89,27-55,N/A,False
385,Bucks,1988-89,49-33,N/A,True
386,Bulls,1988-89,47-35,N/A,False
387,Nets,1988-89,26-56,N/A,False
388,76ers,1988-89,46-36,N/A,False
389,Rockets,1988-89,45-37,N/A,False
390,Pacers,1988-89,28-54,N/A,False
391,Clippers,1988-89,21-61,N/A,False
392,Spurs,1988-89,21-61,N/A,False
393,Nuggets,1988-89,44-38,N/A,False
394,Bullets,1988-89,40-42,N/A,False
395,Pistons,1988-89,63-19,LEAGUE CHAMPION,True
396,Cavaliers,1988-89,57-25,N/A,True
397,Warriors,1988-89,43-39,N/A,False
398,Knicks,1988-89,52-30,N/A,True
399,Mavericks,1988-89,38-44,N/A,False
400,Hawks,1988-89,52-30,N/A,False
401,Magic,1989-90,18-64,N/A,False
402,Suns,1989-90,54-28,N/A,True
403,Pacers,1989-90,42-40,N/A,False
404,Timberwolves,1989-90,22-60,N/A,False
405,Jazz,1989-90,55-27,N/A,True
406,Trail Blazers,1989-90,59-23,FINALS APPEARANCE,True
407,Bucks,1989-90,44-38,N/A,False
408,Lakers,1989-90,63-19,N/A,True
409,Kings,1989-90,23-59,N/A,False
410,Nuggets,1989-90,43-39,N/A,False
411,Clippers,1989-90,30-52,N/A,False
412,Knicks,1989-90,45-37,N/A,False
413,Hawks,1989-90,41-41,N/A,False
414,Heat,1989-90,18-64,N/A,False
415,Cavaliers,1989-90,42-40,N/A,False
416,Rockets,1989-90,41-41,N/A,False
417,Warriors,1989-90,37-45,N/A,False
418,Hornets,1989-90,19-63,N/A,False
419,SuperSonics,1989-90,41-41,N/A,False
420,Nets,1989-90,17-65,N/A,False
421,Spurs,1989-90,56-26,N/A,True
422,Bullets,1989-90,31-51,N/A,False
423,Pistons,1989-90,59-23,LEAGUE CHAMPION,True
424,Mavericks,1989-90,47-35,N/A,False
425,76ers,1989-90,53-29,N/A,True
426,Bulls,1989-90,55-27,N/A,True
427,Celtics,1989-90,52-30,N/A,False
428,Trail Blazers,1990-91,63-19,N/A,True
429,Nuggets,1990-91,20-62,N/A,False
430,Jazz,1990-91,54-28,N/A,True
431,Bullets,1990-91,30-52,N/A,False
432,Knicks,1990-91,39-43,N/A,False
433,Lakers,1990-91,58-24,FINALS APPEARANCE,True
434,Spurs,1990-91,55-27,N/A,True
435,Suns,1990-91,55-27,N/A,True
436,Warriors,1990-91,44-38,N/A,False
437,Nets,1990-91,26-56,N/A,False
438,Bulls,1990-91,61-21,LEAGUE CHAMPION,True
439,Timberwolves,1990-91,29-53,N/A,False
440,76ers,1990-91,44-38,N/A,False
441,Hornets,1990-91,26-56,N/A,False
442,Heat,1990-91,24-58,N/A,False
443,Cavaliers,1990-91,33-49,N/A,False
444,Pistons,1990-91,50-32,N/A,False
445,Magic,1990-91,31-51,N/A,False
446,Mavericks,1990-91,28-54,N/A,False
447,Pacers,1990-91,41-41,N/A,False
448,Celtics,1990-91,56-26,N/A,True
449,Bucks,1990-91,48-34,N/A,False
450,Hawks,1990-91,43-39,N/A,False
451,Clippers,1990-91,31-51,N/A,False
452,Rockets,1990-91,52-30,N/A,True
453,Kings,1990-91,25-57,N/A,False
454,SuperSonics,1990-91,41-41,N/A,False
455,Pacers,1991-92,40-42,N/A,False
456,Nuggets,1991-92,24-58,N/A,False
457,76ers,1991-92,35-47,N/A,False
458,Jazz,1991-92,55-27,N/A,True
459,Bullets,1991-92,25-57,N/A,False
460,Cavaliers,1991-92,57-25,N/A,True
461,Pistons,1991-92,48-34,N/A,False
462,Hawks,1991-92,38-44,N/A,False
463,Bulls,1991-92,67-15,LEAGUE CHAMPION,True
464,Spurs,1991-92,47-35,N/A,False
465,Clippers,1991-92,45-37,N/A,False
466,Mavericks,1991-92,22-60,N/A,False
467,Lakers,1991-92,43-39,N/A,False
468,Rockets,1991-92,42-40,N/A,False
469,Hornets,1991-92,31-51,N/A,False
470,Celtics,1991-92,51-31,N/A,False
471,Bucks,1991-92,31-51,N/A,False
472,Magic,1991-92,21-61,N/A,False
473,Knicks,1991-92,51-31,N/A,False
474,Heat,1991-92,38-44,N/A,False
475,Suns,1991-92,53-29,N/A,True
476,Kings,1991-92,29-53,N/A,False
477,Nets,1991-92,40-42,N/A,False
478,Trail Blazers,1991-92,57-25,FINALS APPEARANCE,True
479,SuperSonics,1991-92,47-35,N/A,False
480,Warriors,1991-92,55-27,N/A,True
481,Timberwolves,1991-92,15-67,N/A,False
482,Timberwolves,1992-93,19-63,N/A,False
483,Kings,1992-93,25-57,N/A,False
484,Pacers,1992-93,41-41,N/A,False
485,Nuggets,1992-93,36-46,N/A,False
486,Rockets,1992-93,55-27,N/A,True
487,Clippers,1992-93,41-41,N/A,False
488,Spurs,1992-93,49-33,N/A,True
489,Magic,1992-93,41-41,N/A,False
490,Heat,1992-93,36-46,N/A,False
491,Mavericks,1992-93,11-71,N/A,False
492,Hornets,1992-93,44-38,N/A,False
493,Cavaliers,1992-93,54-28,N/A,True
494,Jazz,1992-93,47-35,N/A,False
495,Trail Blazers,1992-93,51-31,N/A,False
496,Nets,1992-93,43-39,N/A,False
497,SuperSonics,1992-93,55-27,N/A,True
498,Pistons,1992-93,40-42,N/A,False
499,Suns,1992-93,62-20,FINALS APPEARANCE,True
500,Bucks,1992-93,28-54,N/A,False
501,Bullets,1992-93,22-60,N/A,False
502,76ers,1992-93,26-56,N/A,False
503,Hawks,1992-93,43-39,N/A,False
504,Warriors,1992-93,34-48,N/A,False
505,Lakers,1992-93,39-43,N/A,False
506,Celtics,1992-93,48-34,N/A,False
507,Bulls,1992-93,57-25,LEAGUE CHAMPION,True
508,Knicks,1992-93,60-22,N/A,True
509,Bullets,1993-94,24-58,N/A,False
510,Rockets,1993-94,58-24,LEAGUE CHAMPION,True
511,Kings,1993-94,28-54,N/A,False
512,Bulls,1993-94,55-27,N/A,True
513,Trail Blazers,1993-94,47-35,N/A,False
514,Heat,1993-94,42-40,N/A,False
515,Knicks,1993-94,57-25,FINALS APPEARANCE,True
516,Suns,1993-94,56-26,N/A,True
517,Pacers,1993-94,47-35,N/A,False
518,Celtics,1993-94,32-50,N/A,False
519,Clippers,1993-94,27-55,N/A,False
520,Hawks,1993-94,57-25,N/A,True
521,Timberwolves,1993-94,20-62,N/A,False
522,Bucks,1993-94,20-62,N/A,False
523,Hornets,1993-94,41-41,N/A,False
524,Nets,1993-94,45-37,N/A,False
525,Pistons,1993-94,20-62,N/A,False
526,Jazz,1993-94,53-29,N/A,True
527,Nuggets,1993-94,42-40,N/A,False
528,Lakers,1993-94,33-49,N/A,False
529,SuperSonics,1993-94,63-19,N/A,True
530,Mavericks,1993-94,13-69,N/A,False
531,Spurs,1993-94,55-27,N/A,True
532,Warriors,1993-94,50-32,N/A,False
533,Magic,1993-94,50-32,N/A,False
534,Cavaliers,1993-94,47-35,N/A,False
535,76ers,1993-94,25-57,N/A,False
536,Hawks,1994-95,42-40,N/A,False
537,Warriors,1994-95,26-56,N/A,False
538,76ers,1994-95,24-58,N/A,False
539,Clippers,1994-95,17-65,N/A,False
540,Pistons,1994-95,28-54,N/A,False
541,Celtics,1994-95,35-47,N/A,False
542,Mavericks,1994-95,36-46,N/A,False
543,Nuggets,1994-95,41-41,N/A,False
544,Bucks,1994-95,34-48,N/A,False
545,Pacers,1994-95,52-30,N/A,False
546,Lakers,1994-95,48-34,N/A,False
547,Timberwolves,1994-95,21-61,N/A,False
548,Hornets,1994-95,50-32,N/A,False
549,Suns,1994-95,59-23,N/A,True
550,Knicks,1994-95,55-27,N/A,True
551,Heat,1994-95,32-50,N/A,False
552,Magic,1994-95,57-25,FINALS APPEARANCE,True
553,Kings,1994-95,39-43,N/A,False
554,Jazz,1994-95,60-22,N/A,True
555,Rockets,1994-95,47-35,LEAGUE CHAMPION,False
556,Bulls,1994-95,47-35,N/A,False
557,Cavaliers,1994-95,43-39,N/A,False
558,SuperSonics,1994-95,57-25,N/A,True
559,Trail Blazers,1994-95,44-38,N/A,False
560,Bullets,1994-95,21-61,N/A,False
561,Nets,1994-95,30-52,N/A,False
562,Spurs,1994-95,62-20,N/A,True
563,Pistons,1995-96,46-36,N/A,False
564,Jazz,1995-96,55-27,N/A,True
565,Nuggets,1995-96,35-47,N/A,False
566,Bucks,1995-96,25-57,N/A,False
567,Pacers,1995-96,52-30,N/A,False
568,Timberwolves,1995-96,26-56,N/A,False
569,Rockets,1995-96,48-34,N/A,False
570,Grizzlies,1995-96,15-67,N/A,False
571,Lakers,1995-96,53-29,N/A,True
572,Celtics,1995-96,33-49,N/A,False
573,Heat,1995-96,42-40,N/A,False
574,Spurs,1995-96,59-23,N/A,True
575,Warriors,1995-96,36-46,N/A,False
576,Hawks,1995-96,46-36,N/A,False
577,Bulls,1995-96,72-10,LEAGUE CHAMPION,True
578,Kings,1995-96,39-43,N/A,False
579,Suns,1995-96,41-41,N/A,False
580,Trail Blazers,1995-96,44-38,N/A,False
581,Nets,1995-96,30-52,N/A,False
582,Knicks,1995-96,47-35,N/A,False
583,Cavaliers,1995-96,47-35,N/A,False
584,SuperSonics,1995-96,64-18,FINALS APPEARANCE,True
585,Clippers,1995-96,29-53,N/A,False
586,Magic,1995-96,60-22,N/A,True
587,Bullets,1995-96,39-43,N/A,False
588,Mavericks,1995-96,26-56,N/A,False
589,76ers,1995-96,18-64,N/A,False
590,Hornets,1995-96,41-41,N/A,False
591,Raptors,1995-96,21-61,N/A,False
592,Bucks,1996-97,33-49,N/A,False
593,Spurs,1996-97,20-62,N/A,False
594,76ers,1996-97,22-60,N/A,False
595,Warriors,1996-97,30-52,N/A,False
596,Suns,1996-97,40-42,N/A,False
597,Pistons,1996-97,54-28,N/A,True
598,Mavericks,1996-97,24-58,N/A,False
599,Cavaliers,1996-97,42-40,N/A,False
600,Timberwolves,1996-97,40-42,N/A,False
601,Grizzlies,1996-97,14-68,N/A,False
602,Bulls,1996-97,69-13,LEAGUE CHAMPION,True
603,Lakers,1996-97,56-26,N/A,True
604,Magic,1996-97,45-37,N/A,False
605,SuperSonics,1996-97,57-25,N/A,True
606,Bullets,1996-97,44-38,N/A,False
607,Pacers,1996-97,39-43,N/A,False
