,Team,Season,Record,Season Result,PJ Positive,Playoffs Results
60,Pistons,1973-74,52-30,N/A,True,CSF Exit
61,Celtics,1973-74,56-26,LEAGUE CHAMPION,True,Champ
62,76ers,1973-74,25-57,N/A,False,Not Qualified
63,Kings,1973-74,33-49,N/A,False,Not Qualified
64,Suns,1973-74,30-52,N/A,False,Not Qualified
65,Braves,1973-74,42-40,N/A,False,CSF Exit
66,Rockets,1973-74,32-50,N/A,False,Not Qualified
67,SuperSonics,1973-74,36-46,N/A,False,Not Qualified
68,Lakers,1974-75,30-52,N/A,False,Not Qualified
69,Bulls,1974-75,47-35,N/A,False,CF Exit
70,Warriors,1974-75,48-34,LEAGUE CHAMPION,False,Champ
71,Celtics,1974-75,60-22,N/A,True,CF Exit
72,Jazz,1974-75,23-59,N/A,False,Not Qualified
73,Bucks,1974-75,38-44,N/A,False,Not Qualified
74,Braves,1974-75,49-33,N/A,False,CSF Exit
75,76ers,1974-75,34-48,N/A,False,Not Qualified
76,Kings,1974-75,44-38,N/A,False,CSF Exit
77,Suns,1974-75,32-50,N/A,False,Not Qualified
78,Cavaliers,1974-75,40-42,N/A,False,Not Qualified
79,Knicks,1974-75,40-42,N/A,False,FR Exit
80,Bullets,1974-75,60-22,FINALS APPEARANCE,True,Runner Up
81,SuperSonics,1974-75,43-39,N/A,False,CSF Exit
82,Rockets,1974-75,41-41,N/A,False,CSF Exit
83,Trail Blazers,1974-75,38-44,N/A,False,Not Qualified
84,Pistons,1974-75,40-42,N/A,False,FR Exit
85,Hawks,1974-75,31-51,N/A,False,Not Qualified
86,SuperSonics,1975-76,43-39,N/A,False,CSF Exit
87,Lakers,1975-76,40-42,N/A,False,Not Qualified
88,76ers,1975-76,46-36,N/A,False,FR Exit
89,Trail Blazers,1975-76,37-45,N/A,False,Not Qualified
90,Suns,1975-76,42-40,FINALS APPEARANCE,False,Runner Up
91,Bucks,1975-76,38-44,N/A,False,CSF Exit
92,Knicks,1975-76,38-44,N/A,False,Not Qualified
93,Bullets,1975-76,48-34,N/A,False,CSF Exit
94,Braves,1975-76,46-36,N/A,False,CSF Exit
95,Kings,1975-76,31-51,N/A,False,Not Qualified
96,Pistons,1975-76,36-46,N/A,False,CSF Exit
97,Warriors,1975-76,59-23,N/A,True,CF Exit
98,Hawks,1975-76,29-53,N/A,False,Not Qualified
99,Jazz,1975-76,38-44,N/A,False,Not Qualified
100,Rockets,1975-76,40-42,N/A,False,Not Qualified
101,Cavaliers,1975-76,49-33,N/A,True,CF Exit
102,Bulls,1975-76,24-58,N/A,False,Not Qualified
103,Celtics,1975-76,54-28,LEAGUE CHAMPION,True,Champ
104,Lakers,1976-77,53-29,N/A,True,CF Exit
105,Celtics,1976-77,44-38,N/A,False,CSF Exit
106,SuperSonics,1976-77,40-42,N/A,False,Not Qualified
107,Spurs,1976-77,44-38,N/A,False,FR Exit
108,Bullets,1976-77,48-34,N/A,False,CSF Exit
109,Rockets,1976-77,49-33,N/A,False,CF Exit
110,Braves,1976-77,30-52,N/A,False,Not Qualified
111,Nuggets,1976-77,50-32,N/A,False,CSF Exit
112,76ers,1976-77,50-32,FINALS APPEARANCE,False,Runner Up
113,Bucks,1976-77,30-52,N/A,False,Not Qualified
114,Kings,1976-77,40-42,N/A,False,Not Qualified
115,Suns,1976-77,34-48,N/A,False,Not Qualified
116,Pistons,1976-77,44-38,N/A,False,FR Exit
117,Cavaliers,1976-77,43-39,N/A,False,FR Exit
118,Knicks,1976-77,40-42,N/A,False,Not Qualified
119,Pacers,1976-77,36-46,N/A,False,Not Qualified
120,Bulls,1976-77,44-38,N/A,False,FR Exit
121,Hawks,1976-77,31-51,N/A,False,Not Qualified
122,Jazz,1976-77,35-47,N/A,False,Not Qualified
123,Warriors,1976-77,46-36,N/A,False,CSF Exit
124,Nets,1976-77,22-60,N/A,False,Not Qualified
125,Trail Blazers,1976-77,49-33,LEAGUE CHAMPION,False,Champ
126,Rockets,1977-78,28-54,N/A,False,Not Qualified
127,Warriors,1977-78,43-39,N/A,False,Not Qualified
128,Pacers,1977-78,31-51,N/A,False,Not Qualified
129,Pistons,1977-78,38-44,N/A,False,Not Qualified
130,Knicks,1977-78,43-39,N/A,False,CSF Exit
131,Braves,1977-78,27-55,N/A,False,Not Qualified
132,Hawks,1977-78,41-41,N/A,False,FR Exit
133,Nets,1977-78,24-58,N/A,False,Not Qualified
134,Celtics,1977-78,32-50,N/A,False,Not Qualified
135,Cavaliers,1977-78,43-39,N/A,False,FR Exit
136,Spurs,1977-78,52-30,N/A,True,CSF Exit
137,Lakers,1977-78,45-37,N/A,False,FR Exit
138,76ers,1977-78,55-27,N/A,True,CF Exit
139,Jazz,1977-78,39-43,N/A,False,Not Qualified
140,Trail Blazers,1977-78,58-24,N/A,True,CSF Exit
141,Suns,1977-78,49-33,N/A,False,FR Exit
142,Bullets,1977-78,44-38,LEAGUE CHAMPION,False,Champ
143,Bucks,1977-78,44-38,N/A,False,CSF Exit
144,SuperSonics,1977-78,47-35,FINALS APPEARANCE,True,Runner Up
145,Kings,1977-78,31-51,N/A,False,Not Qualified
146,Bulls,1977-78,40-42,N/A,False,Not Qualified
147,Nuggets,1977-78,48-34,N/A,False,CF Exit
148,Bulls,1978-79,31-51,N/A,False,Not Qualified
149,Cavaliers,1978-79,30-52,N/A,False,Not Qualified
150,Rockets,1978-79,47-35,N/A,False,FR Exit
151,Clippers,1978-79,43-39,N/A,False,Not Qualified
152,Lakers,1978-79,47-35,N/A,False,CSF Exit
153,Trail Blazers,1978-79,45-37,N/A,False,FR Exit
154,Bullets,1978-79,54-28,FINALS APPEARANCE,True,Runner Up
155,Spurs,1978-79,48-34,N/A,False,CF Exit
156,Pacers,1978-79,38-44,N/A,False,Not Qualified
157,Suns,1978-79,50-32,N/A,False,CF Exit
158,Nuggets,1978-79,47-35,N/A,False,FR Exit
159,Celtics,1978-79,29-53,N/A,False,Not Qualified
160,Knicks,1978-79,31-51,N/A,False,Not Qualified
161,76ers,1978-79,47-35,N/A,False,CSF Exit
162,Pistons,1978-79,30-52,N/A,False,Not Qualified
163,Jazz,1978-79,26-56,N/A,False,Not Qualified
164,Warriors,1978-79,38-44,N/A,False,Not Qualified
165,Bucks,1978-79,38-44,N/A,False,Not Qualified
166,Kings,1978-79,48-34,N/A,False,CSF Exit
167,Nets,1978-79,37-45,N/A,False,FR Exit
168,SuperSonics,1978-79,52-30,LEAGUE CHAMPION,False,Champ
169,Hawks,1978-79,46-36,N/A,False,CSF Exit
170,Nets,1979-80,34-48,N/A,False,Not Qualified
171,Jazz,1979-80,24-58,N/A,False,Not Qualified
172,Hawks,1979-80,50-32,N/A,False,CSF Exit
173,Spurs,1979-80,41-41,N/A,False,FR Exit
174,Pistons,1979-80,16-66,N/A,False,Not Qualified
175,Kings,1979-80,47-35,N/A,False,FR Exit
176,Clippers,1979-80,35-47,N/A,False,Not Qualified
177,Cavaliers,1979-80,37-45,N/A,False,Not Qualified
178,Pacers,1979-80,37-45,N/A,False,Not Qualified
179,Bulls,1979-80,30-52,N/A,False,Not Qualified
180,Suns,1979-80,55-27,N/A,True,CSF Exit
181,Lakers,1979-80,60-22,LEAGUE CHAMPION,True,Champ
182,Rockets,1979-80,41-41,N/A,False,CSF Exit
183,76ers,1979-80,59-23,FINALS APPEARANCE,True,Runner Up
184,Knicks,1979-80,39-43,N/A,False,Runner Up
185,SuperSonics,1979-80,56-26,N/A,True,CF Exit
186,Bucks,1979-80,49-33,N/A,False,CSF Exit
187,Nuggets,1979-80,30-52,N/A,False,Not Qualified
188,Bullets,1979-80,39-43,N/A,False,FR Exit
189,Warriors,1979-80,24-58,N/A,False,Not Qualified
190,Celtics,1979-80,61-21,N/A,True,CF Exit
191,Trail Blazers,1979-80,38-44,N/A,False,FR Exit
192,Jazz,1980-81,28-54,N/A,False,Not Qualified
193,Pacers,1980-81,44-38,N/A,False,FR Exit
194,Warriors,1980-81,39-43,N/A,False,Not Qualified
195,Spurs,1980-81,52-30,N/A,False,CSF Exit
196,Mavericks,1980-81,15-67,N/A,False,Not Qualified
197,Hawks,1980-81,31-51,N/A,False,Not Qualified
198,Kings,1980-81,40-42,N/A,False,CF Exit
199,SuperSonics,1980-81,34-48,N/A,False,Not Qualified
200,Nets,1980-81,24-58,N/A,False,Not Qualified
201,Lakers,1980-81,54-28,N/A,False,FR Exit
202,Nuggets,1980-81,37-45,N/A,False,Not Qualified
203,Knicks,1980-81,50-32,N/A,False,FR Exit
204,Bullets,1980-81,39-43,N/A,False,Not Qualified
205,Pistons,1980-81,21-61,N/A,False,Not Qualified
206,Bulls,1980-81,45-37,N/A,False,CSF Exit
207,Trail Blazers,1980-81,45-37,N/A,False,FR Exit
208,Celtics,1980-81,62-20,LEAGUE CHAMPION,True,Champ
209,Bucks,1980-81,60-22,N/A,True,CSF Exit
210,Cavaliers,1980-81,28-54,N/A,False,Not Qualified
211,76ers,1980-81,62-20,N/A,True,Runner Up
212,Rockets,1980-81,40-42,FINALS APPEARANCE,False,Runner Up
213,Clippers,1980-81,36-46,N/A,False,Not Qualified
214,Suns,1980-81,57-25,N/A,True,CSF Exit
215,Rockets,1981-82,46-36,N/A,False,FR Exit
216,Knicks,1981-82,33-49,N/A,False,Not Qualified
217,Hawks,1981-82,42-40,N/A,False,FR Exit
218,Jazz,1981-82,25-57,N/A,False,Not Qualified
219,Kings,1981-82,30-52,N/A,False,Not Qualified
220,Bucks,1981-82,55-27,N/A,True,CSF Exit
221,Nuggets,1981-82,46-36,N/A,False,FR Exit
222,Clippers,1981-82,17-65,N/A,False,Not Qualified
223,Pistons,1981-82,39-43,N/A,False,Not Qualified
224,Bullets,1981-82,43-39,N/A,False,CSF Exit
225,Warriors,1981-82,45-37,N/A,False,Not Qualified
226,76ers,1981-82,58-24,FINALS APPEARANCE,True,Runner Up
227,Suns,1981-82,46-36,N/A,False,CSF Exit
228,Pacers,1981-82,35-47,N/A,False,Not Qualified
229,Cavaliers,1981-82,15-67,N/A,False,Not Qualified
230,Bulls,1981-82,34-48,N/A,False,Not Qualified
231,Mavericks,1981-82,28-54,N/A,False,Not Qualified
232,Spurs,1981-82,48-34,N/A,False,CF Exit
233,SuperSonics,1981-82,52-30,N/A,True,CSF Exit
234,Nets,1981-82,44-38,N/A,False,FR Exit
235,Lakers,1981-82,57-25,LEAGUE CHAMPION,True,Champ
236,Celtics,1981-82,63-19,N/A,True,CF Exit
237,Trail Blazers,1981-82,42-40,N/A,False,Not Qualified
238,Bucks,1982-83,51-31,N/A,False,CF Exit
239,Clippers,1982-83,25-57,N/A,False,Not Qualified
240,Celtics,1982-83,56-26,N/A,True,CSF Exit
241,76ers,1982-83,65-17,LEAGUE CHAMPION,True,Champ
242,SuperSonics,1982-83,48-34,N/A,False,FR Exit
243,Knicks,1982-83,44-38,N/A,False,CSF Exit
244,Bulls,1982-83,28-54,N/A,False,Not Qualified
245,Pistons,1982-83,37-45,N/A,False,Not Qualified
246,Warriors,1982-83,30-52,N/A,False,Not Qualified
247,Rockets,1982-83,14-68,N/A,False,Not Qualified
248,Nets,1982-83,49-33,N/A,True,FR Exit
249,Bullets,1982-83,42-40,N/A,False,Not Qualified
250,Trail Blazers,1982-83,46-36,N/A,False,CSF Exit
251,Kings,1982-83,45-37,N/A,False,CSF Exit
252,Cavaliers,1982-83,23-59,N/A,False,Not Qualified
253,Nuggets,1982-83,45-37,N/A,False,CSF Exit
254,Hawks,1982-83,43-39,N/A,False,FR Exit
255,Mavericks,1982-83,38-44,N/A,False,Not Qualified
256,Suns,1982-83,53-29,N/A,True,CSF Exit
257,Jazz,1982-83,30-52,N/A,False,Not Qualified
258,Lakers,1982-83,58-24,FINALS APPEARANCE,True,Runner Up
259,Spurs,1982-83,53-29,N/A,False,CF Exit
260,Pacers,1982-83,20-62,N/A,False,Not Qualified
261,Bucks,1983-84,50-32,N/A,False,CF Exit
262,Suns,1983-84,41-41,N/A,False,CF Exit
263,Warriors,1983-84,37-45,N/A,False,Not Qualified
264,Celtics,1983-84,62-20,LEAGUE CHAMPION,True,Champ
265,Rockets,1983-84,29-53,N/A,False,Not Qualified
266,76ers,1983-84,52-30,N/A,False,FR Exit
267,Hawks,1983-84,40-42,N/A,False,FR Exit
268,Nuggets,1983-84,38-44,N/A,False,FR Exit
269,Spurs,1983-84,37-45,N/A,False,Not Qualified
270,Nets,1983-84,45-37,N/A,False,CSF Exit
271,Bulls,1983-84,27-55,N/A,False,Not Qualified
272,Knicks,1983-84,47-35,N/A,False,CSF Exit
273,Clippers,1983-84,30-52,N/A,False,Not Qualified
274,Trail Blazers,1983-84,48-34,N/A,False,FR Exit
275,Pacers,1983-84,26-56,N/A,False,Not Qualified
276,Kings,1983-84,38-44,N/A,False,FR Exit
277,Lakers,1983-84,54-28,FINALS APPEARANCE,True,Runner Up
278,SuperSonics,1983-84,42-40,N/A,False,FR Exit
279,Cavaliers,1983-84,28-54,N/A,False,Not Qualified
280,Mavericks,1983-84,43-39,N/A,False,CSF Exit
281,Bullets,1983-84,35-47,N/A,False,FR Exit
282,Jazz,1983-84,45-37,N/A,False,CSF Exit
283,Pistons,1983-84,49-33,N/A,False,FR Exit
284,Nuggets,1984-85,52-30,N/A,False,CF Exit
285,Lakers,1984-85,62-20,LEAGUE CHAMPION,True,Champ
286,Celtics,1984-85,63-19,FINALS APPEARANCE,True,Runner Up
287,Warriors,1984-85,22-60,N/A,False,Not Qualified
288,Knicks,1984-85,24-58,N/A,False,Not Qualified
289,SuperSonics,1984-85,31-51,N/A,False,Not Qualified
290,Spurs,1984-85,41-41,N/A,False,FR Exit
291,Kings,1984-85,31-51,N/A,False,Not Qualified
292,76ers,1984-85,58-24,N/A,True,CF Exit
293,Suns,1984-85,36-46,N/A,False,FR Exit
294,Hawks,1984-85,34-48,N/A,False,Not Qualified
295,Jazz,1984-85,41-41,N/A,False,CSF Exit
296,Pacers,1984-85,22-60,N/A,False,Not Qualified
297,Mavericks,1984-85,44-38,N/A,False,FR Exit
298,Clippers,1984-85,31-51,N/A,False,Not Qualified
299,Cavaliers,1984-85,36-46,N/A,False,FR Exit
300,Trail Blazers,1984-85,42-40,N/A,False,CSF Exit
301,Bucks,1984-85,59-23,N/A,True,CSF Exit
302,Bullets,1984-85,40-42,N/A,False,FR Exit
303,Pistons,1984-85,46-36,N/A,False,CSF Exit
304,Bulls,1984-85,38-44,N/A,False,FR Exit
305,Rockets,1984-85,48-34,N/A,False,FR Exit
306,Nets,1984-85,42-40,N/A,False,FR Exit
307,Warriors,1985-86,30-52,N/A,False,Not Qualified
308,Celtics,1985-86,67-15,LEAGUE CHAMPION,True,Champ
309,Mavericks,1985-86,44-38,N/A,False,CSF Exit
310,Suns,1985-86,32-50,N/A,False,Not Qualified
311,Kings,1985-86,37-45,N/A,False,FR Exit
312,Bucks,1985-86,57-25,N/A,True,CF Exit
313,Pistons,1985-86,46-36,N/A,False,FR Exit
314,Spurs,1985-86,35-47,N/A,False,FR Exit
315,SuperSonics,1985-86,31-51,N/A,False,Not Qualified
316,Hawks,1985-86,50-32,N/A,False,CSF Exit
317,Pacers,1985-86,26-56,N/A,False,Not Qualified
318,Cavaliers,1985-86,29-53,N/A,False,Not Qualified
319,76ers,1985-86,54-28,N/A,True,CSF Exit
320,Lakers,1985-86,62-20,N/A,True,CF Exit
321,Rockets,1985-86,51-31,FINALS APPEARANCE,False,Runner Up
322,Nets,1985-86,39-43,N/A,False,FR Exit
323,Knicks,1985-86,23-59,N/A,False,Not Qualified
324,Bulls,1985-86,30-52,N/A,False,FR Exit
325,Trail Blazers,1985-86,40-42,N/A,False,FR Exit
326,Clippers,1985-86,32-50,N/A,False,Not Qualified
327,Nuggets,1985-86,47-35,N/A,False,CSF Exit
328,Jazz,1985-86,42-40,N/A,False,FR Exit
329,Bullets,1985-86,39-43,N/A,False,FR Exit
330,Suns,1986-87,36-46,N/A,False,Not Qualified
331,Spurs,1986-87,28-54,N/A,False,Not Qualified
332,Nuggets,1986-87,37-45,N/A,False,FR Exit
333,Pacers,1986-87,41-41,N/A,False,FR Exit
334,Mavericks,1986-87,55-27,N/A,True,FR Exit
335,Cavaliers,1986-87,31-51,N/A,False,Not Qualified
336,76ers,1986-87,45-37,N/A,False,FR Exit
337,Bullets,1986-87,42-40,N/A,False,FR Exit
338,Bucks,1986-87,50-32,N/A,False,CSF Exit
339,Lakers,1986-87,65-17,LEAGUE CHAMPION,True,Champ
340,Jazz,1986-87,44-38,N/A,False,FR Exit
341,Celtics,1986-87,59-23,FINALS APPEARANCE,True,Runner Up
342,Clippers,1986-87,12-70,N/A,False,Not Qualified
343,SuperSonics,1986-87,39-43,N/A,False,CF Exit
344,Kings,1986-87,29-53,N/A,False,Not Qualified
345,Bulls,1986-87,40-42,N/A,False,FR Exit
346,Trail Blazers,1986-87,49-33,N/A,False,FR Exit
347,Knicks,1986-87,24-58,N/A,False,Not Qualified
348,Hawks,1986-87,57-25,N/A,False,CSF Exit
349,Rockets,1986-87,42-40,N/A,False,CSF Exit
350,Nets,1986-87,24-58,N/A,False,Not Qualified
351,Pistons,1986-87,52-30,N/A,True,CF Exit
352,Warriors,1986-87,42-40,N/A,False,CSF Exit
353,Pistons,1987-88,54-28,FINALS APPEARANCE,True,Runner Up
354,Jazz,1987-88,47-35,N/A,False,CSF Exit
355,Lakers,1987-88,62-20,LEAGUE CHAMPION,True,Champ
356,Mavericks,1987-88,53-29,N/A,True,CF Exit
357,Nets,1987-88,19-63,N/A,False,Not Qualified
358,SuperSonics,1987-88,44-38,N/A,False,FR Exit
359,Bucks,1987-88,42-40,N/A,False,FR Exit
360,76ers,1987-88,36-46,N/A,False,Not Qualified
361,Pacers,1987-88,38-44,N/A,False,Not Qualified
362,Bullets,1987-88,38-44,N/A,False,FR Exit
363,Kings,1987-88,24-58,N/A,False,Not Qualified
364,Spurs,1987-88,31-51,N/A,False,FR Exit
365,Suns,1987-88,28-54,N/A,False,Not Qualified
366,Knicks,1987-88,38-44,N/A,False,FR Exit
367,Nuggets,1987-88,54-28,N/A,True,CSF Exit
368,Hawks,1987-88,50-32,N/A,False,CSF Exit
369,Trail Blazers,1987-88,53-29,N/A,True,FR Exit
370,Celtics,1987-88,57-25,N/A,True,CF Exit
371,Bulls,1987-88,50-32,N/A,False,CSF Exit
372,Rockets,1987-88,46-36,N/A,False,FR Exit
373,Clippers,1987-88,17-65,N/A,False,Not Qualified
374,Cavaliers,1987-88,42-40,N/A,False,FR Exit
375,Warriors,1987-88,20-62,N/A,False,Not Qualified
376,Celtics,1988-89,42-40,N/A,False,FR Exit
377,Jazz,1988-89,51-31,N/A,False,FR Exit
378,SuperSonics,1988-89,47-35,N/A,False,CSF Exit
379,Hornets,1988-89,20-62,N/A,False,Not Qualified
380,Heat,1988-89,15-67,N/A,False,Not Qualified
381,Suns,1988-89,55-27,N/A,True,CF Exit
382,Trail Blazers,1988-89,39-43,N/A,False,FR Exit
383,Lakers,1988-89,57-25,FINALS APPEARANCE,True,Runner Up
384,Kings,1988-89,27-55,N/A,False,Not Qualified
385,Bucks,1988-89,49-33,N/A,True,CSF Exit
386,Bulls,1988-89,47-35,N/A,False,CF Exit
387,Nets,1988-89,26-56,N/A,False,Not Qualified
388,76ers,1988-89,46-36,N/A,False,FR Exit
389,Rockets,1988-89,45-37,N/A,False,FR Exit
390,Pacers,1988-89,28-54,N/A,False,Not Qualified
391,Clippers,1988-89,21-61,N/A,False,Not Qualified
392,Spurs,1988-89,21-61,N/A,False,Not Qualified
393,Nuggets,1988-89,44-38,N/A,False,FR Exit
394,Bullets,1988-89,40-42,N/A,False,Not Qualified
395,Pistons,1988-89,63-19,LEAGUE CHAMPION,True,Champ
396,Cavaliers,1988-89,57-25,N/A,True,FR Exit
397,Warriors,1988-89,43-39,N/A,False,CSF Exit
398,Knicks,1988-89,52-30,N/A,True,CSF Exit
399,Mavericks,1988-89,38-44,N/A,False,Not Qualified
400,Hawks,1988-89,52-30,N/A,False,FR Exit
401,Magic,1989-90,18-64,N/A,False,Not Qualified
402,Suns,1989-90,54-28,N/A,True,CF Exit
403,Pacers,1989-90,42-40,N/A,False,FR Exit
404,Timberwolves,1989-90,22-60,N/A,False,Not Qualified
405,Jazz,1989-90,55-27,N/A,True,FR Exit
406,Trail Blazers,1989-90,59-23,FINALS APPEARANCE,True,Runner Up
407,Bucks,1989-90,44-38,N/A,False,FR Exit
408,Lakers,1989-90,63-19,N/A,True,CSF Exit
409,Kings,1989-90,23-59,N/A,False,Not Qualified
410,Nuggets,1989-90,43-39,N/A,False,FR Exit
411,Clippers,1989-90,30-52,N/A,False,Not Qualified
412,Knicks,1989-90,45-37,N/A,False,CSF Exit
413,Hawks,1989-90,41-41,N/A,False,Not Qualified
414,Heat,1989-90,18-64,N/A,False,Not Qualified
415,Cavaliers,1989-90,42-40,N/A,False,FR Exit
416,Rockets,1989-90,41-41,N/A,False,FR Exit
417,Warriors,1989-90,37-45,N/A,False,Not Qualified
418,Hornets,1989-90,19-63,N/A,False,Not Qualified
419,SuperSonics,1989-90,41-41,N/A,False,Not Qualified
420,Nets,1989-90,17-65,N/A,False,Not Qualified
421,Spurs,1989-90,56-26,N/A,True,CSF Exit
422,Bullets,1989-90,31-51,N/A,False,Not Qualified
423,Pistons,1989-90,59-23,LEAGUE CHAMPION,True,Champ
424,Mavericks,1989-90,47-35,N/A,False,FR Exit
425,76ers,1989-90,53-29,N/A,True,CSF Exit
426,Bulls,1989-90,55-27,N/A,True,CF Exit
427,Celtics,1989-90,52-30,N/A,False,FR Exit
428,Trail Blazers,1990-91,63-19,N/A,True,CF Exit
429,Nuggets,1990-91,20-62,N/A,False,Not Qualified
430,Jazz,1990-91,54-28,N/A,True,CSF Exit
431,Bullets,1990-91,30-52,N/A,False,Not Qualified
432,Knicks,1990-91,39-43,N/A,False,FR Exit
433,Lakers,1990-91,58-24,FINALS APPEARANCE,True,Runner Up
434,Spurs,1990-91,55-27,N/A,True,FR Exit
435,Suns,1990-91,55-27,N/A,True,FR Exit
436,Warriors,1990-91,44-38,N/A,False,CSF Exit
437,Nets,1990-91,26-56,N/A,False,Not Qualified
438,Bulls,1990-91,61-21,LEAGUE CHAMPION,True,Champ
439,Timberwolves,1990-91,29-53,N/A,False,Not Qualified
440,76ers,1990-91,44-38,N/A,False,CSF Exit
441,Hornets,1990-91,26-56,N/A,False,Not Qualified
442,Heat,1990-91,24-58,N/A,False,Not Qualified
443,Cavaliers,1990-91,33-49,N/A,False,Not Qualified
444,Pistons,1990-91,50-32,N/A,False,CF Exit
445,Magic,1990-91,31-51,N/A,False,Not Qualified
446,Mavericks,1990-91,28-54,N/A,False,Not Qualified
447,Pacers,1990-91,41-41,N/A,False,FR Exit
448,Celtics,1990-91,56-26,N/A,True,CSF Exit
449,Bucks,1990-91,48-34,N/A,False,FR Exit
450,Hawks,1990-91,43-39,N/A,False,FR Exit
451,Clippers,1990-91,31-51,N/A,False,Not Qualified
452,Rockets,1990-91,52-30,N/A,True,FR Exit
453,Kings,1990-91,25-57,N/A,False,Not Qualified
454,SuperSonics,1990-91,41-41,N/A,False,FR Exit
455,Pacers,1991-92,40-42,N/A,False,FR Exit
456,Nuggets,1991-92,24-58,N/A,False,Not Qualified
457,76ers,1991-92,35-47,N/A,False,Not Qualified
458,Jazz,1991-92,55-27,N/A,True,CF Exit
459,Bullets,1991-92,25-57,N/A,False,Not Qualified
460,Cavaliers,1991-92,57-25,N/A,True,CF Exit
461,Pistons,1991-92,48-34,N/A,False,FR Exit
462,Hawks,1991-92,38-44,N/A,False,Not Qualified
463,Bulls,1991-92,67-15,LEAGUE CHAMPION,True,Champ
464,Spurs,1991-92,47-35,N/A,False,FR Exit
465,Clippers,1991-92,45-37,N/A,False,FR Exit
466,Mavericks,1991-92,22-60,N/A,False,Not Qualified
467,Lakers,1991-92,43-39,N/A,False,FR Exit
468,Rockets,1991-92,42-40,N/A,False,Not Qualified
469,Hornets,1991-92,31-51,N/A,False,Not Qualified
470,Celtics,1991-92,51-31,N/A,False,CSF Exit
471,Bucks,1991-92,31-51,N/A,False,Not Qualified
472,Magic,1991-92,21-61,N/A,False,Not Qualified
